rmse,train_time,test_time,model_type,test_set
0.12296,2.3979999999992287,0.011999999998806743,ElasticNet,1
0.11907,2.5199999999986176,0.01299999999901047,ElasticNet,2
0.12275,2.25,0.01299999999901047,ElasticNet,3
0.11869,3.004000000000815,0.023999999999432475,ElasticNet,4
0.11136,1.8029999999998836,0.01299999999901047,ElasticNet,5
0.1297,2.8659999999999854,0.012000000000625732,ElasticNet,6
0.12804,2.4240000000008877,0.01300000000082946,ElasticNet,7
0.11963,2.1409999999996217,0.01299999999901047,ElasticNet,8
0.1288,2.114000000001397,0.014000000001033186,ElasticNet,9
0.11985,2.4650000000001455,0.01300000000082946,ElasticNet,10
0.11236,160.4989999999998,0.11500000000160071,XGBoost,1
0.11606,156.30199999999968,0.11700000000018917,XGBoost,2
0.11058,145.8630000000012,0.10499999999956344,XGBoost,3
0.10987,141.82899999999972,0.08400000000074215,XGBoost,4
0.10783,133.03799999999865,0.09600000000136788,XGBoost,5
0.12018,164.72299999999996,0.12199999999938882,XGBoost,6
0.12959,151.08100000000013,0.1319999999996071,XGBoost,7
0.11652,150.83599999999933,0.10499999999956344,XGBoost,8
0.11912,180.22100000000137,0.10999999999876309,XGBoost,9
0.11648,142.81800000000112,0.12600000000020373,XGBoost,10
