"","x"
"bad",-0.330413957514393
"worst",-1.08346644271753
"waste",-1.35365010809057
"awful",-0.960396027139721
"terrible",-0.660410590460109
"worse",-0.578413062132258
"waste_of",-0.0546353161696372
"no",-0.0699588541718364
"boring",-0.566093191905584
"of_worst",-0.539688776848827
"nothing",-0.342478403733782
"poor",-0.54324571548778
"minutes",-0.216536119474686
"horrible",-0.468782368392772
"stupid",-0.27226352739468
"even",-0.0175469173819577
"acting",-0.0832834009268908
"so_bad",-0.26448711148162
"one_of_worst",-0.00735439545025471
"supposed",-0.384379524800942
"at_all",-0.302006453464091
"poorly",-0.998783215640895
"crap",-0.298612596079036
"just",-0.0186651572265703
"why",-0.0882298727522507
"ridiculous",-0.482159996471823
"avoid",-0.620816641821442
"plot",-0.0932963931296433
"not_even",-0.391594350407707
"lame",-0.369555165953736
"wasted",-0.552016440021354
"script",-0.202965062214873
"worst_movie",-0.0998872807010239
"money",-0.107830593073687
"cheap",-0.516076199358289
"pointless",-0.702270240513581
"thing",-0.0589630929961552
"oh",-0.283459577800736
"annoying",-0.442999344797323
"any",-0.0563453393849584
"dull",-0.746836423570729
"laughable",-0.86533943122802
"unless",-0.326156844338959
"pathetic",-0.501195262895376
"mess",-0.372130074593467
"least",-0.0698735289971401
"badly",-0.376539859457749
"fails",-0.636579890397082
"reason",-0.198766648027818
"at_least",-0.0305807156828615
"avoid_this",-0.660220882696002
"garbage",-0.270070462414901
"instead",-0.294592574973067
"how_bad",-0.223147259893856
"redeeming",-0.778689872784497
"1",-0.102239606190894
"bad_movie",-0.0815974167826375
"could",-0.0194087881292613
"really_bad",-0.0452027034863726
"make",-0.0107487319944908
"sorry",-0.408528107110631
"only",-0.0534104984276772
"didn't",-0.0526578649245642
"minutes_of",-0.190069174380235
"2",-0.0334748261521325
"looks_like",-0.111020139980821
"bother",-0.243723710574626
"couldn't",-0.178518968068752
"save",-0.355834632057223
"ok",-0.150413974937718
"no_sense",-0.748507215428776
"anything",-0.0510560410990191
"excuse",-0.308749729214429
"this_piece_of",-0.26389791071493
"predictable",-0.30306288286824
"decent",-0.044316552130886
"to_make",-0.0472381287416278
"all_costs",-0.00979138569611842
"dumb",-0.116390591636763
"would",-0.0594578364571863
"at_all_costs",-0.066524496608914
"off",-0.0530152195890966
"not_funny",-0.713891063129438
"attempt",-0.283904679038621
"low",-0.133800297681486
"unfortunately",-0.39259904441288
"3",-0.1036939544846
"better",-0.0258449069740133
"nothing_to",-0.000694402866145663
"lousy",-0.822880042670823
"4_10",-1.97443032092515
"4",-0.263709197448478
"guess",-0.0895165832317669
"this_piece",-0.192616176130156
"than_this",-0.176606899814453
"don't_even",-0.162031941583542
"3_10",-1.61274038699372
"looks",-0.0809796297955066
"not_worth",-0.864719258085141
"whatsoever",-0.185743089220169
"to_be",-0.0256021539250135
"idea",-0.202340812017909
"look_like",-0.211579530241771
"sucks",-0.293741340151581
"half",-0.0858831685604511
"just_plain",-0.256882758421514
"unfunny",-0.833371458001424
"sit_through",-0.0341532378567291
"watching_this",-0.0816574395053977
"disappointing",-0.64816804472153
"hour",-0.0872450753293288
"amateurish",-0.70310823397026
"none_of",-0.211392874412528
"atrocious",-0.0613982541637158
"absolutely_no",-0.0796909890566437
"mediocre",-0.682741403996512
"wooden",-0.541204368419476
"joke",-0.102911378246584
"dreadful",-0.687193878117606
"disappointment",-0.912294329843587
"watching",-0.0351376869780913
