"","x"
"great",0.39754262271064
"excellent",0.707030341167401
"best",0.264085281543136
"of_best",0.637726719862135
"wonderful",0.47730038793106
"one_of_best",0.0550411159505052
"perfect",0.579575685261959
"love",0.0840950206664475
"superb",0.896949531060784
"amazing",0.525191353026503
"loved",0.327531683335914
"beautiful",0.189536321774055
"well",0.0954436165631617
"favorite",0.527000037981476
"brilliant",0.506309469230617
"life",0.104069675251347
"must_see",1.21092453807078
"highly",0.336511481875542
"also",0.0629120711512398
"very",0.08888584648493
"fantastic",0.575451913948921
"one_of",0.0622924470086179
"performance",0.0440138108536455
"beautifully",0.360459973261851
"both",0.169712700142642
"always",0.114960733492887
"enjoyed",0.193976362689968
"wonderfully",1.01489135033292
"very_well",0.244978843212623
"well_worth",1.19266227774825
"8_10",1.54558056214639
"today",0.373253766998674
"highly_recommend",0.510652145388312
"strong",0.283666865935765
"this_great",0.51420403858029
"performances",0.0798038942249169
"touching",0.432582905332947
"10_10",0.994531591081269
"years",0.051007999770262
"7_10",2.53304097276981
"powerful",0.470247966826756
"highly_recommended",0.981285826833847
"8",0.510371574970521
"perfectly",0.29682055105753
"definitely",0.2591455824011
"terrific",0.397760883656669
"moving",0.264765999212416
"gives",0.219065796678426
"gem",0.775177418409844
"outstanding",0.313548369209407
"unique",0.323258144666598
"hilarious",0.698028434986813
"love_this",0.548788520459878
"stunning",0.286178739679866
"world",0.0231088930641986
"masterpiece",0.47712558586707
"with_great",0.0968509161311535
"7",0.501514663703419
"brilliantly",0.824071783154085
"as_well_as",0.0317707486446925
"own",0.146590893344294
"story_of",0.0448010481328127
"incredible",0.475249719876392
"different",0.188355360154153
"subtle",0.572739953832465
"loved_this",0.718392722535219
"true",0.112488773514206
"great_film",0.25147154186468
"performance_as",0.143555801908528
"delightful",0.505174057960887
"especially",0.159615442379005
"very_good",0.27282688444067
"classic",0.16185163632945
"job",0.0580597309071112
"beauty",0.174338575717601
"will",0.10682441203988
"captures",0.212935062936229
"great_job",0.328296800936863
"underrated",0.461343026292747
"oscar",0.0135453949125245
"lives",0.0793929374741666
"heart",0.104038472130832
"great_movie",0.0551939656663678
"on_dvd",0.374025065380837
"still",0.165344975783881
"each",0.0826407334147143
"solid",0.495372869501042
"shows",0.153069599628612
"recommended",0.204800979338286
"friendship",0.0981250709003677
"simple",0.255735742446225
"sweet",0.315751188112801
"9_10",0.766496118540175
"memorable",0.00490914916975561
"rare",0.361477159054548
"top_notch",0.453014553853266
"well_written",0.110550819938528
"many",0.0255357331801618
"complex",0.162593203904963
"greatest",0.175529186210995
"played",0.0154080383947666
"finest",0.384915471437878
"highly_recommend_this",0.241617208410628
"definitely_worth",1.19902269191589
"journey",0.0854693666956077
"fun",0.255447562270516
"works",0.097071529395689
"best_of",0.0724045870861623
"first_saw",0.282448174419457
"well_done",0.144561857187016
"may_not",0.508252289492179
"enjoy",0.307374813978527
"tale",0.0657309238900537
"enjoyed_this",0.822332773110385
"emotions",0.294382791078372
"enjoyable",0.420681432315503
"magnificent",0.00902665449330144
"breathtaking",0.0238990886653909
"refreshing",0.842803851509435
"first_time",0.509677337716137
"unlike",0.245285254199071
"extraordinary",0.463450283230563
"charming",0.0665711541324999
"this_wonderful",0.182561834571502
"recommend",0.119348358651964
"fascinating",0.334340756054294
"perfection",0.0102424676328811
"music",0.062525244542042
"makes",0.204119821297729
"favorites",0.307689342385008
"realistic",0.201390290688703
"awesome",0.412974802735337
"natural",0.0343391000077056
"very_funny",0.687969967035278
"unexpected",0.341002801020059
"at_same",0.06647741338158
"superbly",0.44548068332369
"experience",0.182823252271031
"series",0.0670809839292722
"relationship",0.119638923853927
"timeless",0.371876421076024
"human",0.206702051678359
"of_war",0.484003471025249
"at_time",0.116374587287296
"feelings",0.0504100903223185
"of_most",0.168453147788466
"satisfying",0.732939558489335
"unforgettable",0.542171856872046
"favourite",0.304930546634833
"edge",0.169778521269358
"this_excellent",0.486016122666967
"8_out",0.967374845982409
"movie_great",0.185923557082515
"7_out_of",0.0522348084292056
"first_saw_this",0.312738056153928
"impressed",0.531096525281615
"brings",0.0826079239785327
"7_out",1.5205701855967
"exceptional",0.513288038231403
"good_as",0.00626859972666417
"marvelous",0.329259149634218
"7_out_of_10",0.280170443416111
"new",0.0497313139452073
"quite",0.0878003594712314
"love_this_movie",0.0864362449882854
"don't_miss",0.76731293179097
"memories",0.0576724407629716
"gorgeous",0.111419059896529
"flawless",0.0216698950183839
"gritty",0.303348638908316
"adds",0.0649956801922006
"effective",0.197485614862943
"adds_to",0.57013980853362
"fine",0.0132049624298641
"funniest",0.551222443168255
"tells",0.17194293428733
"delight",0.177609134288405
"atmosphere",0.262924125539638
"see_again",0.484524624377966
"available",0.256951950381034
"dvd",0.056445415648951
"for_everyone",0.632821214298832
"excellent_film",0.0230918001408089
"10_out",0.143089884092409
"10_out_of_10",0.490796377877052
"first_rate",0.505128703287348
"also_great",0.118070920191349
"wonderful_film",0.397237786150992
"released",0.137541985196258
"very_entertaining",0.443796777285889
"really_enjoyed",0.146148293688615
"of_seat",0.521478613318382
"recommend_this",0.113442896657744
"pleasantly_surprised",0.815754789878683
"often",0.0333015449073494
"hooked",0.723895786016808
"city",0.0797064557226592
"times",0.0381810886402615
"entertaining",0.308337746511957
"haunting",0.267167925317727
"live",0.0162800602012438
"truly",0.0575224990594653
"nicely",0.294164941019957
"intense",0.22742805661186
"happiness",0.198043990807789
"sharp",0.537375380769676
"what_makes",0.335347400431754
"be_missed",0.361676092641317
"lovely",0.0526628296463977
"small",0.0293094971982311
"does_great_job",0.0971661657291303
