"","x"
"7_10",2.53304097276981
"8_10",1.54558056214639
"7_out",1.5205701855967
"must_see",1.21092453807078
"definitely_worth",1.19902269191589
"well_worth",1.19266227774825
"wonderfully",1.01489135033292
"10_10",0.994531591081269
"highly_recommended",0.981285826833847
"8_out",0.967374845982409
"superb",0.896949531060784
"definitely_recommend",0.87820803358635
"refreshing",0.842803851509435
"won't_be_disappointed",0.84124876165404
"brilliantly",0.824071783154085
"enjoyed_this",0.822332773110385
"pleasantly_surprised",0.815754789878683
"gem",0.775177418409844
"don't_miss",0.76731293179097
"9_10",0.766496118540175
"9_out_of_10",0.763523784916711
"satisfying",0.732939558489335
"hooked",0.723895786016808
"loved_this",0.718392722535219
"excellent",0.707030341167401
"hilarious",0.698028434986813
"watch_again_again",0.696513729494975
"film_excellent",0.688143469596415
"very_funny",0.687969967035278
"of_best",0.637726719862135
"for_everyone",0.632821214298832
"favorite_movies",0.610495565572809
"thought_provoking",0.607820315623799
"little_film",0.590707106206174
"even_better",0.588727531081231
"perfect",0.579575685261959
"fantastic",0.575451913948921
"subtle",0.572739953832465
"adds_to",0.57013980853362
"funniest",0.551222443168255
"love_this",0.548788520459878
"unforgettable",0.542171856872046
"sharp",0.537375380769676
"this_very_good",0.537089086655183
"impressed",0.531096525281615
"would_love_to",0.528764845927118
"favorite",0.527000037981476
"amazing",0.525191353026503
"of_seat",0.521478613318382
"this_great",0.51420403858029
"exceptional",0.513288038231403
"highly_recommend",0.510652145388312
"8",0.510371574970521
"first_time",0.509677337716137
"may_not",0.508252289492179
"brilliant",0.506309469230617
"delightful",0.505174057960887
"first_rate",0.505128703287348
"also_good",0.50328737558832
"surprisingly",0.502492364336443
"7",0.501514663703419
"solid",0.495372869501042
"10_out_of_10",0.490796377877052
"be_one_of_best",0.489808055204029
"this_excellent",0.486016122666967
"see_again",0.484524624377966
"of_war",0.484003471025249
"wonderful",0.47730038793106
"masterpiece",0.47712558586707
"incredible",0.475249719876392
"pleased",0.472354865657907
"powerful",0.470247966826756
"must_for",0.465227560636527
"extraordinary",0.463450283230563
"on_edge_of",0.461900185478569
"underrated",0.461343026292747
"top_notch",0.453014553853266
"based_on_true_story",0.451180329722744
"superbly",0.44548068332369
"noir",0.444361475244775
"very_entertaining",0.443796777285889
"surreal",0.443273367825792
"delicious",0.442719719841988
"touching",0.432582905332947
"can_relate",0.428247380324211
"subtitles",0.426433262140019
"enjoyable",0.420681432315503
"in_united",0.41670766212374
"steals_show",0.416142092295189
"awesome",0.412974802735337
"thumbs_up",0.412958251463448
"steals",0.410509195670715
"story_told",0.408786480336296
"terrific",0.397760883656669
"great",0.39754262271064
"wonderful_film",0.397237786150992
"finest",0.384915471437878
"really_liked",0.383319319184458
"holds_up",0.378984407378288
"chilling",0.376530553853972
"freedom",0.376086610993776
"on_dvd",0.374025065380837
"today",0.373253766998674
"timeless",0.371876421076024
"surprising",0.362700797483521
"be_missed",0.361676092641317
"rare",0.361477159054548
"nevertheless",0.361352637144173
"beautifully",0.360459973261851
"to_be_missed",0.356449089806969
"tense",0.354080295054836
"not_to_be_missed",0.350406880670408
"immensely",0.346506052763089
"beautiful_film",0.343236892223191
"at_first",0.341300716781106
"unexpected",0.341002801020059
"can't_wait",0.339720186206036
"devastating",0.33867206419308
"be_seen",0.338392284042919
"highly",0.336511481875542
"what_makes",0.335347400431754
"fascinating",0.334340756054294
"marvelous",0.329259149634218
"great_job",0.328296800936863
"loved",0.327531683335914
"unique",0.323258144666598
"believable",0.321825539192792
"how_well",0.316004897293628
"sweet",0.315751188112801
"this_best",0.31433666573431
"outstanding",0.313548369209407
"first_saw_this",0.312738056153928
"bit_too",0.311967653803252
"absorbing",0.311936963570699
"entertaining",0.308337746511957
"favorites",0.307689342385008
"enjoy",0.307374813978527
"appreciated",0.307374589439881
"favourite",0.304930546634833
"gritty",0.303348638908316
"treat",0.300022385584597
"thanks",0.299174035855985
"great_show",0.29854114039061
"joy_to_watch",0.298029200043606
"in_lives",0.297657979490601
"perfectly",0.29682055105753
"emotions",0.294382791078372
"nicely",0.294164941019957
"innocent",0.293629399721607
"splendid",0.289094343901147
"stunning",0.286178739679866
"chance",0.284663839895969
"strong",0.283666865935765
"impact",0.283357378171427
"first_saw",0.282448174419457
"7_out_of_10",0.280170443416111
"very_good",0.27282688444067
"still_great",0.270077857741231
"haunting",0.267167925317727
"one_of_funniest",0.265406803772427
"moving",0.264765999212416
"best",0.264085281543136
"atmosphere",0.262924125539638
"touches",0.262478204353273
"definitely",0.2591455824011
"just_right",0.257271712219706
"spectacular",0.25703908555993
"available",0.256951950381034
"surprised",0.256904434968632
"simple",0.255735742446225
"fun",0.255447562270516
"appreciate",0.254129809217192
"this_gem",0.254116348918526
"great_film",0.25147154186468
"unlike",0.245285254199071
"very_well",0.244978843212623
"fell_in_love",0.243228080710376
"vision_of",0.241844017128155
"highly_recommend_this",0.241617208410628
"but_still",0.236429379365789
"liked",0.23033244354245
"intense",0.22742805661186
"shows_how",0.221469430428492
"gives",0.219065796678426
"performances_of",0.214983163916226
"performances_from",0.213347141557747
"captures",0.212935062936229
"traditional",0.21207706505788
"inspiring",0.210698070201016
"comedies",0.21055595078109
"genius",0.208692357058891
"good_job",0.207813462551208
"human",0.206702051678359
"recommended",0.204800979338286
"makes",0.204119821297729
"sensitive",0.20242749463372
"realistic",0.201390290688703
"explores",0.199510674509104
"happiness",0.198043990807789
"international_film",0.197559063131331
"effective",0.197485614862943
"pleasure",0.197455938922616
"performances_by",0.19510811892245
"brutal",0.194963096781291
"enjoyed",0.193976362689968
"warm",0.193097941818563
"worth_seeing",0.192229513715847
"at_times",0.190374813717739
"twists_turns",0.190233350543395
"beautiful",0.189536321774055
"different",0.188355360154153
"desire",0.187003457836639
"gripping",0.186819416681839
"movie_great",0.185923557082515
"side_of",0.185793502852094
"experience",0.182823252271031
"this_wonderful",0.182561834571502
"delight",0.177609134288405
"greatest",0.175529186210995
"episodes",0.175456327374258
"beauty",0.174338575717601
"not_perfect",0.173635961180832
"tells",0.17194293428733
"edge",0.169778521269358
"both",0.169712700142642
"of_most",0.168453147788466
"still",0.165344975783881
"release",0.164066351701504
"for_those",0.162666882560076
"complex",0.162593203904963
"classic",0.16185163632945
"witty",0.161836341154862
"love_to_see",0.161115216294037
"so_real",0.159794821727659
"especially",0.159615442379005
"best_of_all",0.157586823975033
"shows",0.153069599628612
"back_in",0.151307754797165
"9",0.151137472353783
"saw_this",0.148998904092648
"own",0.146590893344294
"really_enjoyed",0.146148293688615
"well_done",0.144561857187016
"performance_as",0.143555801908528
"10_out",0.143089884092409
"compelling",0.142758942378194
"easy_to",0.142756359321657
"tears",0.140529051278633
"as_good_as",0.139120459391757
"courage",0.138524503817888
"released",0.137541985196258
"watch_again",0.137175859902587
"on_true",0.132877910290537
"moved",0.132383739528773
"of_fun",0.130423893137629
"easy",0.130311923179887
"relate_to",0.125145497949667
"relationship",0.119638923853927
"sure_to",0.119489424671677
"consequences",0.119438149852587
"recommend",0.119348358651964
"wrenching",0.118200111753904
"also_great",0.118070920191349
"frank",0.116697192452559
"at_time",0.116374587287296
"still_love",0.115765608504885
"season",0.114982855996142
"always",0.114960733492887
"tender",0.114825849185452
"recommend_this",0.113442896657744
"rewarding",0.113429775385953
"ways",0.11251316371364
"true",0.112488773514206
"engrossing",0.112296655267264
"soundtrack",0.112032515869171
"gorgeous",0.111419059896529
"well_written",0.110550819938528
"crafted",0.110435419717838
"greater",0.109633249657346
"past",0.108084202798485
"will",0.10682441203988
"in_opinion",0.105898010191982
"it's_one",0.105524734321997
"reality",0.104476425670123
"life",0.104069675251347
"heart",0.104038472130832
"seat",0.101821279990279
"power_of",0.10023004668774
"quiet",0.0998572805491852
"friendship",0.0981250709003677
"does_great_job",0.0971661657291303
"works",0.097071529395689
"with_great",0.0968509161311535
"well",0.0954436165631617
"familiar",0.0942542341008388
"excellently",0.0928458940763352
"bit",0.0897029698301175
"jean",0.0896683757444601
"very",0.08888584648493
"quite",0.0878003594712314
"together",0.087655989550723
"meets",0.0869279523063694
"love_this_movie",0.0864362449882854
"as_ever",0.0862238154144999
"journey",0.0854693666956077
"love",0.0840950206664475
"going_to",0.0839459886203572
"be_disappointed",0.0838035188072996
"delivers",0.0834846635992648
"see",0.0829648301008806
"each",0.0826407334147143
"brings",0.0826079239785327
"everyone_should",0.0825181069684188
"once",0.0814104556112808
"of_human",0.0809886683011005
"performances",0.0798038942249169
"city",0.0797064557226592
"lives",0.0793929374741666
"for_anyone_who",0.0786902603682725
"light",0.0783405331718888
"twists",0.0764790168387094
"future",0.0758843420283272
"fresh",0.0727844022000749
"most",0.0725193030248329
"best_of",0.0724045870861623
"very_moving",0.0690896745565169
"strength",0.0689799052845136
"vhs",0.0683386748888902
"series",0.0670809839292722
"charming",0.0665711541324999
"at_same",0.06647741338158
"tale",0.0657309238900537
"creates",0.0653631278393877
"adds",0.0649956801922006
"brought",0.0638141664001296
"become",0.0630014040505213
"also",0.0629120711512398
"music",0.062525244542042
"although",0.062298344990238
"one_of",0.0622924470086179
"dreams",0.0602969355312446
"certainly",0.0590934325862051
"sometimes",0.0581903070703226
"job",0.0580597309071112
"memories",0.0576724407629716
"contrast_to",0.05755612610442
"truly",0.0575224990594653
"layered",0.0570308730848624
"dvd",0.056445415648951
"yet",0.0557551390597052
"great_movie",0.0551939656663678
"one_of_best",0.0550411159505052
"all_time",0.0544385642284579
"provides",0.0535038272720691
"contrast",0.0534014854766686
"great_to_see",0.053244673745183
"movie_excellent",0.0532236654242875
"lovely",0.0526628296463977
"murder",0.0526230936494221
"adorable",0.052267348314225
"7_out_of",0.0522348084292056
"years",0.051007999770262
"feelings",0.0504100903223185
"new",0.0497313139452073
"captivating",0.0475968799343166
"makes_this",0.0469263043882959
"others",0.0453573718382152
"touched",0.0451054652322921
"story_of",0.0448010481328127
"performance",0.0440138108536455
"matthau",0.0419094909746546
"landscape",0.0417521978439697
"sees",0.0416895870310364
"animated",0.0384689527963312
"times",0.0381810886402615
"older",0.0375853044686487
"very_best",0.0374587764194302
"late",0.0354832307290373
"natural",0.0343391000077056
"often",0.0333015449073494
"not_be",0.0323442785744812
"as_well_as",0.0317707486446925
"to_all",0.0314090301227649
"happy",0.0313325253881332
"small",0.0293094971982311
"love_to",0.0281140056246769
"recently",0.0256274535524349
"many",0.0255357331801618
"as_good",0.0254769868432756
"breathtaking",0.0238990886653909
"world",0.0231088930641986
"excellent_film",0.0230918001408089
"film_for",0.021811076345384
"flawless",0.0216698950183839
"harry",0.0199314966806488
"raw",0.0178224625514279
"live",0.0162800602012438
"played",0.0154080383947666
"sense_of",0.0151312900854213
"oscar",0.0135453949125245
"who",0.0133773135613608
"fine",0.0132049624298641
"get",0.0127476362356566
"captured",0.0123209846928815
"all_great",0.0120192067343395
"perfection",0.0102424676328811
"magnificent",0.00902665449330144
"french",0.00892135659238661
"later",0.00803951054632347
